text,label
What is the reservoir level of Karnataka?,sql
Tell me about Forecasting.,platform
What is the minimum temperature in Andhra Pradesh?,sql
Write a poem.,general
Who created you?,general
Show me the production of Wheat in Bangalore for 2015.,sql
How to handle missing values in the dataset?,platform
What is the speed of light?,general
Give me the area under Potato cultivation in Bhubaneswar.,sql
Find the maximum temperature of Bhubaneswar in 2012.,sql
Is there any data for Rabi season in Ahmedabad?,sql
What is the minimum temperature in Thiruvananthapuram?,sql
Why is the sky blue?,general
How to clean and reshape datasets?,platform
What is the update frequency for APY data?,platform
What is the difference between Ingestion and ETL?,platform
"What is the total rainfall for Andhra Pradesh in June, 2001?",sql
How to perform ETL operations?,platform
List all crops grown in Bhubaneswar.,sql
How to add a new user?,platform
Why is the ocean salty?,general
Show me the production of Wheat in Odisha for 2002.,sql
You are helpful.,general
What is 2 + 2?,general
Compare rainfall between Gujarat and Uttar Pradesh in 2007.,sql
Sing a song.,general
Who is a Super Admin?,platform
How to run a model training batch?,platform
Did it rain in Punjab on 19/8/2013?,sql
What is the largest animal?,general
What are the system requirements for NPCYF?,platform
How to use the AI Copilot?,platform
How to use the Data Ingestion tutorial?,platform
Who created you?,general
What is 2 + 2?,general
Where do you live?,general
Explain quantum physics.,general
I want to know about Data ETL.,platform
How's the weather today?,general
Tell me about Forecasting.,platform
Tell me a joke.,general
What is the speed of light?,general
Show me the production of Potato in Bhubaneswar for 2000.,sql
What was the highest temperature recorded in Kolkata?,sql
What is the color of the sky?,general
Is there any data for Kharif season in Uttar Pradesh?,sql
How to create a new project?,platform
Tell me the humidity levels in Patna.,sql
How old are you?,general
How to contact technical support?,platform
Find the maximum temperature of Visakhapatnam in 2015.,sql
How does Data Ingestion work?,platform
What is the update frequency for APY data?,platform
What was the total rainfall in Thiruvananthapuram in 2000?,sql
What is the population of Earth?,general
How does NPCYF work?,platform
What can you do?,general
Do we have temperature data for Ludhiana?,sql
Count of districts in Karnataka.,sql
Do we have temperature data for Thiruvananthapuram?,sql
Give me the area under Cotton cultivation in Thiruvananthapuram.,sql
What is Python?,general
Did it rain in Karnataka on 5/1/2015?,sql
Can you help me with math?,general
Do we have temperature data for Uttar Pradesh?,sql
How much Rice was produced in 2010?,sql
How to make coffee?,general
What is the minimum temperature in Bhubaneswar?,sql
Who discovered gravity?,general
What is the currency of Japan?,general
What are the key features of NPCYF?,platform
Bye,general
What is the URL for UPAG data?,platform
How many countries in the world?,general
How to run a model training batch?,platform
What permissions does a Project Owner have?,platform
What can you do?,general
Explain Forecasting.,platform
Do aliens exist?,general
Compare rainfall between Karnataka and West Bengal in 2013.,sql
How to reset my password?,platform
How to install pandas?,general
What was the total rainfall in Karnataka in 2018?,sql
Count of districts in Andhra Pradesh.,sql
How does Forecasting work?,platform
How to make coffee?,general
What is Python?,general
What was the total rainfall in Punjab in 2000?,sql
Did it rain in Ludhiana on 26/7/2017?,sql
I want to know about Admin Management.,platform
Thanks,general
How to validate data quality?,platform
Tell me about Forecasting.,platform
Hi,general
Explain Admin Management.,platform
Explain quantum physics.,general
How to clean and reshape datasets?,platform
How does Data ETL work?,platform
Find the maximum temperature of Ludhiana in 2005.,sql
Is there any data for Summer season in Visakhapatnam?,sql
See you later,general
Count of districts in Bihar.,sql
How much Cotton was produced in 2016?,sql
Write a poem.,general
What was the total rainfall in Gujarat in 2004?,sql
What is the population of Earth?,general
List all crops grown in Kerala.,sql
I want to know about Feature Engineering.,platform
What is the reservoir level of Ludhiana?,sql
Is there any data for Rabi season in Thiruvananthapuram?,sql
Show crop yields for 2008.,sql
Can you help me with math?,general
Find the maximum temperature of Ludhiana in 2007.,sql
Can you dance?,general
Who discovered gravity?,general
How to validate data quality?,platform
I want to know about Data Ingestion.,platform
What is the average rainfall in Ludhiana?,sql
Give me the area under Maize cultivation in Bihar.,sql
What is the date today?,general
Explain User Roles.,platform
How to contact technical support?,platform
Show me the production of Potato in Karnataka for 2020.,sql
You are helpful.,general
How to use the AI Copilot?,platform
What is the largest animal?,general
What are the system requirements for NPCYF?,platform
What is the reservoir level of Bangalore?,sql
How to create a new dataset?,platform
What is the best programming language?,general
Who is the president of USA?,general
What formats are supported for Rainfall data?,platform
What is NPCYF?,platform
What is the color of the sky?,general
Define machine learning.,general
How many continents are there?,general
What is the IMD CRIS portal?,platform
What is Master Data Management?,platform
Give me the area under Rice cultivation in Ahmedabad.,sql
How does Feature Engineering work?,platform
What is the smallest bird?,general
How to ingest data into the platform?,platform
What is the best movie?,general
What is the difference between Ingestion and ETL?,platform
What is the update frequency for APY data?,platform
Show me the production of Cotton in Lucknow for 2021.,sql
What is NPCYF?,platform
Show me the production of Potato in Patna for 2019.,sql
Show crop yields for 2008.,sql
List all crops grown in Andhra Pradesh.,sql
Find the maximum temperature of Odisha in 2004.,sql
Show me the production of Wheat in Odisha for 2015.,sql
How do airplanes fly?,general
See you later,general
What is your favorite color?,general
Compare rainfall between Kerala and Uttar Pradesh in 2012.,sql
What is the minimum temperature in Kolkata?,sql
How to ingest data into the platform?,platform
Hello,general
What was the highest temperature recorded in West Bengal?,sql
List all crops grown in Punjab.,sql
Did it rain in Bangalore on 13/3/2011?,sql
Show me the production of Rice in Kolkata for 2004.,sql
How to download data from IndiaStat?,platform
Do you sleep?,general
What is the IMD CRIS portal?,platform
How to run a model training batch?,platform
Thank you,general
How to validate data quality?,platform
What is the time now?,general
How to export forecast results?,platform
What is the speed of light?,general
What is a Training Feature Set?,platform
Explain Model Building.,platform
What is a Training Feature Set?,platform
How to add a new crop to the system?,platform
Hello,general
How to generate a forecast?,platform
How much Cotton was produced in 2012?,sql
What was the highest temperature recorded in Uttar Pradesh?,sql
What is 2 + 2?,general
Explain Admin Management.,platform
Do we have temperature data for Bangalore?,sql
What is the best movie?,general
Tell me the humidity levels in Kerala.,sql
Tell me about Data ETL.,platform
Hello,general
What is FASAL 2.0?,platform
Tell me a joke.,general
Tell me the humidity levels in Karnataka.,sql
Do aliens exist?,general
Tell me the humidity levels in Kolkata.,sql
Are you human?,general
Explain NPCYF.,platform
What is 2 + 2?,general
Is this a chatbot?,general
I need advice.,general
What is the yield of Potato in Odisha?,sql
I want to know about Copilot.,platform
What is the reservoir level of Punjab?,sql
How to use the Data Ingestion tutorial?,platform
Do we have temperature data for Ludhiana?,sql
Do we have temperature data for Andhra Pradesh?,sql
List all crops grown in Thiruvananthapuram.,sql
How to associate a dataset with a project?,platform
Are you human?,general
I want to know about Data Ingestion.,platform
Why is the ocean salty?,general
What is NPCYF?,platform
Do aliens exist?,general
What is the smallest bird?,general
How to access the Dashboard?,platform
How to create a Feature Master?,platform
Show crop yields for 2012.,sql
What are the system requirements for NPCYF?,platform
Can you dance?,general
You are helpful.,general
Is there any data for Summer season in West Bengal?,sql
What is the yield of Wheat in Kerala?,sql
Do we have temperature data for Visakhapatnam?,sql
How to contact technical support?,platform
"What is the total rainfall for Bhubaneswar in August, 2003?",sql
Do you sleep?,general
Who won the world cup?,general
What is the update frequency for APY data?,platform
What is Master Data Management?,platform
What is the color of the sky?,general
What was the total rainfall in Visakhapatnam in 2005?,sql
What is Master Data Management?,platform
List all crops grown in Kolkata.,sql
What is NPCYF?,platform
How to make coffee?,general
Is there any data for Zaid season in Punjab?,sql
Explain Data Ingestion.,platform
Was there a drought in Gujarat in 2016?,sql
What is love?,general
Did it rain in Bhubaneswar on 5/10/2001?,sql
Who is the CEO of Google?,general
What is the average rainfall in Gujarat?,sql
What is Master Data Management?,platform
Tell me about User Roles.,platform
Is there any data for Rabi season in Gujarat?,sql
Did it rain in Bihar on 7/10/2005?,sql
Where do you live?,general
Count of districts in Gujarat.,sql
What is the date today?,general
Who is the president of USA?,general
You are helpful.,general
Who developed the NPCYF platform?,platform
How much Rice was produced in 2000?,sql
What is the largest animal?,general
What matches are on today?,general
Was there a drought in Ludhiana in 2007?,sql
How much Wheat was produced in 2019?,sql
Find the maximum temperature of Gujarat in 2013.,sql
What is the reservoir level of Patna?,sql
Thank you,general
Why is the ocean salty?,general
Show me the production of Cotton in West Bengal for 2012.,sql
How to view the logs?,platform
How's the weather today?,general
What is the color of the sky?,general
Compare rainfall between Andhra Pradesh and Bihar in 2023.,sql
How to ingest data into the platform?,platform
How does Master Data work?,platform
I am bored.,general
How far is the moon?,general
How to ingest data into the platform?,platform
Compare rainfall between Punjab and Gujarat in 2015.,sql
Who won the world cup?,general
Tell me the humidity levels in Punjab.,sql
Who developed the NPCYF platform?,platform
How to contact technical support?,platform
Bye,general
Do you sleep?,general
How to ingest data into the platform?,platform
Compare rainfall between West Bengal and Uttar Pradesh in 2016.,sql
How to perform ETL operations?,platform
Explain Forecasting.,platform
How to create a new project?,platform
What is the email for platform administration?,platform
What is the population of Earth?,general
When was ISI established?,general
Who wrote Harry Potter?,general
Do you sleep?,general
Did it rain in Uttar Pradesh on 1/1/2021?,sql
Did it rain in Visakhapatnam on 12/2/2005?,sql
How to use the Data Ingestion tutorial?,platform
Tell me about Data Ingestion.,platform
What is the update frequency for APY data?,platform
How does Forecasting work?,platform
What was the highest temperature recorded in Ahmedabad?,sql
What is the population of Earth?,general
I want to know about Master Data.,platform
Define machine learning.,general
What is ISI?,general
Hello,general
What is the speed of light?,general
How's the weather today?,general
What permissions does a Project Owner have?,platform
I am bored.,general
Is there any data for Winter season in Kolkata?,sql
How to reset my password?,platform
What is the largest animal?,general
I need advice.,general
What is the difference between Ingestion and ETL?,platform
Show crop yields for 2012.,sql
What is the stock price of Apple?,general
How to make coffee?,general
I want to know about Model Building.,platform
Tell me about Copilot.,platform
Find the maximum temperature of Patna in 2014.,sql
How to add a new user?,platform
I want to know about Master Data.,platform
How to view project details?,platform
How to upload APY data?,platform
What is Feature Engineering in NPCYF?,platform
What is FASAL 2.0?,platform
Do we have temperature data for Kolkata?,sql
Count of districts in Uttar Pradesh.,sql
How to run a model training batch?,platform
How's the weather today?,general
How to create a new dataset?,platform
What is FASAL 2.0?,platform
What is the average rainfall in Punjab?,sql
What is the largest animal?,general
Explain Master Data.,platform
Where can I find trained models?,platform
Do aliens exist?,general
Did it rain in Bangalore on 15/2/2004?,sql
How to run a model training batch?,platform
How do I log in to the platform?,platform
Tell me the humidity levels in Uttar Pradesh.,sql
Do we have temperature data for Andhra Pradesh?,sql
Tell me a joke.,general
What is your favorite color?,general
What matches are on today?,general
What are the key features of NPCYF?,platform
How to clean and reshape datasets?,platform
How to clean and reshape datasets?,platform
I need advice.,general
What is Feature Engineering in NPCYF?,platform
How does Admin Management work?,platform
What is the meaning of life?,general
I want to know about Data Ingestion.,platform
What is the average rainfall in Odisha?,sql
What is a Training Feature Set?,platform
Do we have temperature data for Ahmedabad?,sql
What is your favorite color?,general
How does Forecasting work?,platform
Compare rainfall between Kerala and West Bengal in 2011.,sql
Do we have temperature data for Uttar Pradesh?,sql
Show me the production of Cotton in Kolkata for 2007.,sql
Explain Model Building.,platform
Define machine learning.,general
Was there a drought in Andhra Pradesh in 2020?,sql
How to clean and reshape datasets?,platform
"What is the total rainfall for Uttar Pradesh in August, 2019?",sql
How to add a new crop to the system?,platform
How do I log in to the platform?,platform
What is the reservoir level of Lucknow?,sql
Who is the founder of ISI?,general
How to ingest data into the platform?,platform
What is 2 + 2?,general
What is the best movie?,general
Where can I find trained models?,platform
Show me the production of Cotton in Thiruvananthapuram for 2012.,sql
What is ISI?,general
What are the key features of NPCYF?,platform
What is AI?,general
Do you like pizza?,general
How to configure temporal intervals for features?,platform
Tell me a story.,general
Compare rainfall between West Bengal and Andhra Pradesh in 2002.,sql
Tell me the humidity levels in Bhubaneswar.,sql
What is the smallest bird?,general
How to handle missing values in the dataset?,platform
Explain Feature Engineering.,platform
Give me the area under Wheat cultivation in West Bengal.,sql
How to reset my password?,platform
What is photosynthesis?,general
What is your name?,general
I need advice.,general
How many continents are there?,general
What was the total rainfall in Visakhapatnam in 2003?,sql
How much Cotton was produced in 2001?,sql
What is the reservoir level of Ludhiana?,sql
How to run a model training batch?,platform
What is AI?,general
What is ISI?,general
Is there any data for Summer season in Uttar Pradesh?,sql
Suggest a song.,general
Is there any data for Kharif season in Kerala?,sql
I want to know about Feature Engineering.,platform
Was there a drought in Ludhiana in 2013?,sql
What is the yield of Potato in Bihar?,sql
I want to know about User Roles.,platform
What is NPCYF?,platform
Tell me a joke.,general
What is the minimum temperature in Andhra Pradesh?,sql
How to reset my password?,platform
Show me the production of Maize in Kolkata for 2013.,sql
"What is the total rainfall for Ahmedabad in January, 2011?",sql
What is your favorite color?,general
What is the minimum temperature in Gujarat?,sql
How much Potato was produced in 2010?,sql
Show me the production of Sugarcane in Thiruvananthapuram for 2008.,sql
Who developed the NPCYF platform?,platform
What was the highest temperature recorded in Odisha?,sql
Show crop yields for 2010.,sql
Do you like pizza?,general
What is your name?,general
Where can I find trained models?,platform
Compare rainfall between Andhra Pradesh and Bihar in 2008.,sql
How does Feature Engineering work?,platform
Count of districts in Bihar.,sql
Can you dance?,general
Tell me the humidity levels in Bihar.,sql
What is the yield of Cotton in West Bengal?,sql
What is Python?,general
Tell me the humidity levels in Bhubaneswar.,sql
What is the yield of Wheat in Kerala?,sql
How to validate data quality?,platform
What was the highest temperature recorded in Visakhapatnam?,sql
What is NPCYF?,platform
How do I log in to the platform?,platform
Hello,general
What is the capital of India?,general
What is the Training Dataset Analysis module?,platform
Suggest a song.,general
What was the total rainfall in Punjab in 2017?,sql
How to manage users in NPCYF?,platform
What is the minimum temperature in Karnataka?,sql
Tell me about Master Data.,platform
Tell me about Data Ingestion.,platform
How to change my profile settings?,platform
Who is the president of USA?,general
How to use the Data Ingestion tutorial?,platform
What is the yield of Rice in Ludhiana?,sql
What is 2 + 2?,general
See you later,general
What is the difference between Ingestion and ETL?,platform
Where do you live?,general
Did it rain in Lucknow on 21/2/2017?,sql
What is the date today?,general
What is photosynthesis?,general
What is the meaning of life?,general
Bye,general
Show me the production of Jute in Gujarat for 2010.,sql
What permissions does a Project Owner have?,platform
How to install pandas?,general
Was there a drought in Andhra Pradesh in 2020?,sql
"What is the total rainfall for West Bengal in August, 2021?",sql
How to create a new project?,platform
How to validate data quality?,platform
Explain Forecasting.,platform
Tell me a story.,general
What was the total rainfall in Bangalore in 2000?,sql
What is the currency of Japan?,general
What permissions does a Project Owner have?,platform
Good morning,general
What is the largest animal?,general
Find the maximum temperature of Thiruvananthapuram in 2011.,sql
Tell me about Data ETL.,platform
How to access the Admin Management section?,platform
How does Data Ingestion work?,platform
What was the highest temperature recorded in Andhra Pradesh?,sql
You are helpful.,general
Where can I find trained models?,platform
Count of districts in Odisha.,sql
How to upload APY data?,platform
How to add a new user?,platform
Is there any data for Zaid season in Gujarat?,sql
Show crop yields for 2021.,sql
Count of districts in Andhra Pradesh.,sql
Tell me the humidity levels in Ahmedabad.,sql
Who won the world cup?,general
What was the highest temperature recorded in Gujarat?,sql
How to create a Feature Master?,platform
Explain User Roles.,platform
What is the reservoir level of Andhra Pradesh?,sql
How do I cook rice?,general
Who discovered gravity?,general
What is the minimum temperature in Patna?,sql
What is the time now?,general
What is AI?,general
Do we have temperature data for Ahmedabad?,sql
Who won the world cup?,general
Good morning,general
Tell me a story.,general
When was ISI established?,general
How to view the logs?,platform
Explain Master Data.,platform
You are helpful.,general
What is a black hole?,general
How to validate data quality?,platform
Who is the Prime Minister?,general
Is there any data for Monsoon season in Visakhapatnam?,sql
What is the average rainfall in Punjab?,sql
Translate hello to Spanish.,general
Write a poem.,general
Who wrote Harry Potter?,general
What was the highest temperature recorded in West Bengal?,sql
What is ISI?,general
How to ingest data into the platform?,platform
How old are you?,general
Tell me about Copilot.,platform
How many continents are there?,general
What is your favorite color?,general
Was there a drought in Gujarat in 2004?,sql
What formats are supported for Rainfall data?,platform
Write a poem.,general
Tell me the humidity levels in Uttar Pradesh.,sql
Who is the Prime Minister?,general
Explain Copilot.,platform
Who is the founder of ISI?,general
Find the maximum temperature of Bangalore in 2006.,sql
List all crops grown in Patna.,sql
Count of districts in Odisha.,sql
What was the highest temperature recorded in Ludhiana?,sql
How to use the AI Copilot?,platform
Was there a drought in Kerala in 2018?,sql
How old are you?,general
What is the reservoir level of Ludhiana?,sql
How many countries in the world?,general
How to validate data quality?,platform
What is the currency of Japan?,general
I want to know about NPCYF.,platform
Count of districts in West Bengal.,sql
How does Forecasting work?,platform
How to create a Feature Master?,platform
How to add a new crop to the system?,platform
What was the total rainfall in Bangalore in 2015?,sql
What is the stock price of Apple?,general
Compare rainfall between Gujarat and Kerala in 2014.,sql
I want to know about User Roles.,platform
How to view project details?,platform
How much Maize was produced in 2008?,sql
Who is the founder of ISI?,general
Why is the ocean salty?,general
Write a poem.,general
Good morning,general
What is NPCYF?,platform
Tell me the humidity levels in Kerala.,sql
Compare rainfall between Uttar Pradesh and Punjab in 2015.,sql
Do we have temperature data for Gujarat?,sql
What was the highest temperature recorded in Karnataka?,sql
I want to know about Admin Management.,platform
Count of districts in Andhra Pradesh.,sql
How to configure a Model Building Config?,platform
What is the meaning of life?,general
You are helpful.,general
What is photosynthesis?,general
How much Maize was produced in 2016?,sql
Was there a drought in Kerala in 2020?,sql
How's the weather today?,general
Find the maximum temperature of Ahmedabad in 2019.,sql
How much Sugarcane was produced in 2015?,sql
What is the yield of Cotton in Gujarat?,sql
Tell me about Admin Management.,platform
Are you human?,general
How to view project details?,platform
How does Data Ingestion work?,platform
Did it rain in West Bengal on 20/10/2000?,sql
Do we have temperature data for Ahmedabad?,sql
Who discovered gravity?,general
What is the minimum temperature in Patna?,sql
Hi,general
How much Potato was produced in 2012?,sql
"What is the total rainfall for Ludhiana in December, 2010?",sql
What can you do?,general
Is there any data for Rabi season in Gujarat?,sql
What is AI?,general
How does NPCYF work?,platform
What is the capital of India?,general
What is the average rainfall in Bangalore?,sql
What is the average rainfall in Andhra Pradesh?,sql
What is the purpose of Data Management module?,platform
Good morning,general
Tell me a joke.,general
How to reset my password?,platform
Is there any data for Summer season in Lucknow?,sql
How to access the Dashboard?,platform
Good morning,general
Show me the production of Potato in Bhubaneswar for 2007.,sql
What is the minimum temperature in Odisha?,sql
Give me the area under Rice cultivation in West Bengal.,sql
Did it rain in Karnataka on 15/6/2019?,sql
I want to know about Data ETL.,platform
Give me the area under Jute cultivation in Karnataka.,sql
Is this a chatbot?,general
Who is the CEO of Google?,general
Give me the area under Maize cultivation in Thiruvananthapuram.,sql
Tell me the humidity levels in Kolkata.,sql
Sing a song.,general
How to export forecast results?,platform
What is the URL for UPAG data?,platform
What is ISI?,general
How to install pandas?,general
See you later,general
How are you?,general
What is the best programming language?,general
Explain Data ETL.,platform
Why is the ocean salty?,general
Count of districts in West Bengal.,sql
Compare rainfall between Punjab and Andhra Pradesh in 2016.,sql
How to add a new user?,platform
How to configure a Model Building Config?,platform
What was the total rainfall in Visakhapatnam in 2018?,sql
How to download data from IndiaStat?,platform
What is Exogenous Estimation Config?,platform
How much Wheat was produced in 2013?,sql
How to add a new user?,platform
Compare rainfall between Punjab and Bihar in 2003.,sql
How many continents are there?,general
Hello,general
What is the URL for UPAG data?,platform
I want to know about Data Ingestion.,platform
What is the date today?,general
How old are you?,general
How to ingest data into the platform?,platform
List all crops grown in Karnataka.,sql
"What is the total rainfall for Bangalore in January, 2017?",sql
Was there a drought in Thiruvananthapuram in 2013?,sql
What is the average rainfall in West Bengal?,sql
Explain Forecasting.,platform
Why is the ocean salty?,general
How many continents are there?,general
How do I log in to the platform?,platform
What is your name?,general
Good morning,general
How to view the logs?,platform
How to configure temporal intervals for features?,platform
How to view project details?,platform
What is the average rainfall in Kerala?,sql
How many continents are there?,general
Who is the president of USA?,general
Can you dance?,general
What is the yield of Wheat in Andhra Pradesh?,sql
Who is a Super Admin?,platform
Tell me about Forecasting.,platform
Did it rain in Thiruvananthapuram on 7/4/2001?,sql
Compare rainfall between Uttar Pradesh and Gujarat in 2015.,sql
"What is the total rainfall for Ludhiana in January, 2006?",sql
Compare rainfall between Punjab and Odisha in 2011.,sql
How to manage users in NPCYF?,platform
How to ingest data into the platform?,platform
What was the highest temperature recorded in Karnataka?,sql
How to add a new crop to the system?,platform
What was the highest temperature recorded in Kerala?,sql
How to download data from IndiaStat?,platform
Can you help me with math?,general
How to ingest data into the platform?,platform
Thanks,general
Tell me about User Roles.,platform
How to create a Feature Master?,platform
How are you?,general
What is the purpose of Data Management module?,platform
How old are you?,general
Is there any data for Rabi season in Patna?,sql
What is the reservoir level of Andhra Pradesh?,sql
Give me the area under Sugarcane cultivation in Bangalore.,sql
List all crops grown in Visakhapatnam.,sql
What is the time now?,general
How does Data ETL work?,platform
I want to know about Data ETL.,platform
Show crop yields for 2000.,sql
What is the stock price of Apple?,general
What was the highest temperature recorded in West Bengal?,sql
Where is Indian Statistical Institute?,general
Do we have temperature data for Andhra Pradesh?,sql
Explain Data Ingestion.,platform
What is ISI?,general
What was the total rainfall in Lucknow in 2011?,sql
What was the total rainfall in Kerala in 2020?,sql
How are you?,general
What is the color of the sky?,general
What is the best programming language?,general
What is Exogenous Estimation Config?,platform
How much Wheat was produced in 2010?,sql
Is this a chatbot?,general
Show me the production of Maize in Uttar Pradesh for 2018.,sql
What is the yield of Rice in Odisha?,sql
Tell me about Admin Management.,platform
How to install pandas?,general
How to view project details?,platform
What is the largest animal?,general
Tell me about NPCYF.,platform
Is this a chatbot?,general
Compare rainfall between West Bengal and Andhra Pradesh in 2010.,sql
Show crop yields for 2001.,sql
How to configure a Model Building Config?,platform
What can you do?,general
What permissions does a Project Owner have?,platform
Tell me a joke.,general
How to configure temporal intervals for features?,platform
How to download data from IndiaStat?,platform
What is the IMD CRIS portal?,platform
How to configure temporal intervals for features?,platform
Explain Admin Management.,platform
Why is the sky blue?,general
List all crops grown in Punjab.,sql
Show me the production of Sugarcane in Patna for 2010.,sql
Tell me about Model Building.,platform
How to upload APY data?,platform
Where do you live?,general
Can you dance?,general
Tell me a story.,general
How to create a Feature Master?,platform
What is the yield of Wheat in Uttar Pradesh?,sql
Why is the sky blue?,general
How's the weather today?,general
Explain Data Ingestion.,platform
Do you sleep?,general
What is the average rainfall in West Bengal?,sql
How are you?,general
What is the minimum temperature in Bhubaneswar?,sql
What is FASAL 2.0?,platform
How to use the AI Copilot?,platform
Find the maximum temperature of Andhra Pradesh in 2010.,sql
What is the update frequency for APY data?,platform
What is Feature Engineering in NPCYF?,platform
How to make coffee?,general
Give me the area under Sugarcane cultivation in Odisha.,sql
What was the total rainfall in Uttar Pradesh in 2003?,sql
Show crop yields for 2007.,sql
Find the maximum temperature of Bhubaneswar in 2001.,sql
What is the population of Earth?,general
How to ingest data into the platform?,platform
Tell me the humidity levels in West Bengal.,sql
How to create a new dataset?,platform
What is NPCYF?,platform
What is the capital of India?,general
What is the IMD CRIS portal?,platform
Show me the production of Maize in Gujarat for 2005.,sql
Do aliens exist?,general
What is the minimum temperature in West Bengal?,sql
How to create a new dataset?,platform
List all crops grown in Lucknow.,sql
How does Forecasting work?,platform
What is the population of Earth?,general
How to associate a dataset with a project?,platform
What is NPCYF?,platform
Give me the area under Cotton cultivation in Visakhapatnam.,sql
How to run a model training batch?,platform
Who is the founder of ISI?,general
List all crops grown in Andhra Pradesh.,sql
Count of districts in Andhra Pradesh.,sql
How to ingest data into the platform?,platform
How to add a new crop to the system?,platform
Write a poem.,general
Write a poem.,general
How does Forecasting work?,platform
How much Jute was produced in 2012?,sql
Did it rain in Bangalore on 9/12/2001?,sql
Show me the production of Potato in Andhra Pradesh for 2012.,sql
What is the date today?,general
I want to know about Forecasting.,platform
What is the average rainfall in Thiruvananthapuram?,sql
What was the total rainfall in Bhubaneswar in 2005?,sql
Good morning,general
How to clean and reshape datasets?,platform
What is Python?,general
How to configure temporal intervals for features?,platform
Tell me a story.,general
What can you do?,general
Do we have temperature data for Bihar?,sql
Explain Feature Engineering.,platform
What is the minimum temperature in Lucknow?,sql
What is the email for platform administration?,platform
What is photosynthesis?,general
How to generate a forecast?,platform
Tell me about Data ETL.,platform
What is the reservoir level of Lucknow?,sql
Is this a chatbot?,general
What is the average rainfall in Ahmedabad?,sql
Who won the world cup?,general
What is Master Data Management?,platform
What is the date today?,general
Who is the founder of ISI?,general
Find the maximum temperature of Karnataka in 2008.,sql
Why is the sky blue?,general
I want to know about Copilot.,platform
Show me the production of Wheat in Andhra Pradesh for 2023.,sql
What is Exogenous Estimation Config?,platform
What is Exogenous Estimation Config?,platform
How does User Roles work?,platform
I want to know about Copilot.,platform
Who discovered gravity?,general
Was there a drought in Visakhapatnam in 2017?,sql
Show crop yields for 2004.,sql
Do aliens exist?,general
What is the smallest bird?,general
Explain Admin Management.,platform
What is the speed of light?,general
What is the meaning of life?,general
What is FASAL 2.0?,platform
What was the total rainfall in Ahmedabad in 2020?,sql
Do you sleep?,general
What is the speed of light?,general
What is the yield of Cotton in Punjab?,sql
Compare rainfall between Gujarat and Punjab in 2016.,sql
How do I log in to the platform?,platform
How to reset my password?,platform
Is there any data for Summer season in Karnataka?,sql
How to change my profile settings?,platform
How to create a new dataset?,platform
Show me the production of Maize in Patna for 2022.,sql
Can you dance?,general
List all crops grown in Visakhapatnam.,sql
Tell me the humidity levels in Punjab.,sql
Who wrote Harry Potter?,general
What is love?,general
Was there a drought in Gujarat in 2008?,sql
What was the highest temperature recorded in Uttar Pradesh?,sql
How to export forecast results?,platform
How does Forecasting work?,platform
How does NPCYF work?,platform
How to create a new dataset?,platform
Who is a Super Admin?,platform
What is Master Data Management?,platform
Explain Model Building.,platform
How to run a model training batch?,platform
When was ISI established?,general
Tell me a joke.,general
How much Potato was produced in 2001?,sql
How does Model Building work?,platform
How to make coffee?,general
Did it rain in Kerala on 24/4/2004?,sql
List all crops grown in Patna.,sql
"What is the total rainfall for Andhra Pradesh in December, 2013?",sql
I want to know about User Roles.,platform
"What is the total rainfall for Visakhapatnam in August, 2019?",sql
What was the highest temperature recorded in Ludhiana?,sql
How to contact technical support?,platform
What is AI?,general
Thank you,general
How to change my profile settings?,platform
What is the purpose of Data Management module?,platform
How to use the Data Ingestion tutorial?,platform
How to view the logs?,platform
How to validate data quality?,platform
What is the smallest bird?,general
I want to know about Admin Management.,platform
Explain Copilot.,platform
Who created you?,general
What was the total rainfall in Uttar Pradesh in 2004?,sql
How many countries in the world?,general
Why is the ocean salty?,general
Explain NPCYF.,platform
What was the total rainfall in Andhra Pradesh in 2015?,sql
What was the highest temperature recorded in West Bengal?,sql
You are helpful.,general
How much Cotton was produced in 2016?,sql
What was the highest temperature recorded in Kerala?,sql
Give me the area under Jute cultivation in Kolkata.,sql
I want to know about User Roles.,platform
What is the smallest bird?,general
What is a black hole?,general
What is the reservoir level of Patna?,sql
How do I log in to the platform?,platform
See you later,general
How to access the Dashboard?,platform
Compare rainfall between West Bengal and Gujarat in 2018.,sql
Can you help me with math?,general
List all crops grown in Kolkata.,sql
Show crop yields for 2022.,sql
List all crops grown in Kolkata.,sql
List all crops grown in Lucknow.,sql
How to monitor model execution status?,platform
I need advice.,general
Was there a drought in Ludhiana in 2009?,sql
Count of districts in Gujarat.,sql
Explain quantum physics.,general
What is the date today?,general
What is the currency of Japan?,general
Tell me the humidity levels in Odisha.,sql
Did it rain in Patna on 14/1/2002?,sql
Tell me a joke.,general
Give me the area under Wheat cultivation in Gujarat.,sql
Do we have temperature data for Gujarat?,sql
How to reset my password?,platform
Count of districts in Gujarat.,sql
What permissions does a Project Owner have?,platform
Do we have temperature data for Uttar Pradesh?,sql
List all crops grown in Punjab.,sql
Find the maximum temperature of Karnataka in 2016.,sql
What permissions does a Project Owner have?,platform
What is a Training Feature Set?,platform
How's the weather today?,general
What is Python?,general
Did it rain in Andhra Pradesh on 2/6/2013?,sql
What is the difference between Ingestion and ETL?,platform
What is the reservoir level of Andhra Pradesh?,sql
What permissions does a Project Owner have?,platform
